date,open,high,low,close,volume,openinterest
2017-07-31,352.648,356.608,349.648,349.868,38412.0,0
2017-08-01,349.648,351.648,346.048,348.888,27501.0,0
2017-08-02,348.688,353.528,347.158,351.488,26774.0,0
2017-08-03,352.328,355.498,344.278,345.868,31768.0,0
2017-08-04,345.648,347.628,341.248,342.288,18681.0,0
2017-08-07,341.148,351.048,339.778,350.208,23099.0,0
2017-08-08,350.648,352.868,348.148,351.228,16051.0,0
2017-08-09,353.488,361.628,350.678,359.498,41794.0,0
2017-08-10,359.738,368.248,357.648,360.278,35364.0,0
2017-08-11,357.648,365.198,352.128,352.708,36572.0,0
2017-08-14,353.858,368.748,353.858,368.478,39331.0,0
2017-08-15,368.758,369.748,363.658,364.618,27163.0,0
2017-08-16,366.648,367.448,361.648,365.138,18587.0,0
2017-08-17,366.248,366.248,358.448,361.338,25846.0,0
2017-08-18,361.448,363.088,356.648,358.298,23857.0,0
2017-08-21,356.648,363.048,355.588,358.378,23546.0,0
2017-08-22,356.048,358.128,344.648,355.868,42457.0,0
2017-08-23,354.098,363.278,352.968,362.658,27214.0,0
2017-08-24,362.638,365.048,360.668,361.458,18156.0,0
2017-08-25,362.098,362.898,357.968,361.638,17297.0,0
2017-08-28,361.648,365.938,359.678,360.688,29021.0,0
2017-08-29,361.668,363.528,356.658,358.088,25176.0,0
2017-08-30,358.348,362.398,357.808,361.618,18503.0,0
2017-08-31,362.688,363.528,358.448,359.798,18736.0,0
2017-09-01,358.848,364.928,358.678,363.828,31451.0,0
2017-09-04,363.828,365.308,359.918,361.068,18931.0,0
2017-09-05,361.528,362.638,358.148,358.638,22622.0,0
2017-09-06,358.648,361.418,353.488,353.628,33006.0,0
2017-09-07,353.958,355.548,348.708,349.918,33320.0,0
2017-09-08,346.898,349.148,342.648,343.018,41173.0,0
2017-09-11,339.738,350.868,338.628,346.968,45374.0,0
2017-09-12,348.148,354.648,347.048,353.558,34341.0,0
2017-09-13,353.648,360.848,350.028,360.278,33075.0,0
2017-09-14,361.638,362.678,357.638,359.358,19399.0,0
2017-09-15,361.148,361.148,356.648,358.488,16039.0,0
2017-09-18,358.788,369.148,358.788,367.618,42206.0,0
2017-09-19,368.948,371.148,364.658,365.598,23054.0,0
2017-09-20,365.548,368.668,364.648,364.848,17318.0,0
2017-09-21,364.588,369.228,361.528,367.418,19402.0,0
2017-09-22,365.548,368.828,364.448,368.578,16343.0,0
2017-09-25,368.958,376.848,368.948,375.888,32697.0,0
2017-09-26,375.338,378.648,372.248,377.938,25470.0,0
2017-09-27,377.568,379.678,374.718,376.858,16671.0,0
2017-09-28,375.848,388.848,375.798,387.108,25969.0,0
2017-09-29,384.648,394.528,384.148,386.288,22436.0,0
2017-10-09,393.188,404.198,388.748,396.418,34891.0,0
2017-10-10,395.698,409.138,395.658,408.708,31006.0,0
2017-10-11,406.748,419.898,406.748,414.188,33406.0,0
2017-10-12,413.648,416.148,408.828,412.738,19646.0,0
2017-10-13,413.648,425.248,410.658,424.798,27858.0,0
2017-10-16,428.638,435.308,424.518,429.338,29909.0,0
2017-10-17,429.618,429.618,422.648,425.378,20977.0,0
2017-10-18,422.848,431.238,422.848,429.368,19178.0,0
2017-10-19,429.648,453.798,429.368,451.248,40658.0,0
2017-10-20,449.648,449.648,440.408,442.978,31534.0,0
2017-10-23,443.568,449.148,436.648,442.058,23771.0,0
2017-10-24,440.648,442.448,432.258,435.978,31274.0,0
2017-10-25,438.398,440.328,430.708,434.318,25076.0,0
2017-10-26,473.648,481.648,460.558,473.738,115434.0,0
2017-10-27,470.758,523.648,468.678,518.278,84383.0,0
2017-10-30,511.698,512.648,489.648,490.728,81007.0,0
2017-10-31,490.658,496.248,480.528,486.678,51875.0,0
2017-11-01,489.528,500.188,487.868,491.658,43435.0,0
2017-11-02,495.598,498.428,489.648,495.568,34249.0,0
2017-11-03,497.298,512.088,497.298,507.818,48188.0,0
2017-11-06,510.148,526.268,508.848,521.708,48513.0,0
2017-11-07,519.228,525.798,506.828,510.718,55564.0,0
2017-11-08,510.978,523.148,510.978,519.028,43951.0,0
2017-11-09,516.648,522.798,513.258,518.718,33641.0,0
2017-11-10,519.078,552.048,519.078,546.598,74078.0,0
2017-11-13,548.648,561.428,544.448,556.528,49869.0,0
2017-11-14,555.788,555.868,545.998,547.398,46366.0,0
2017-11-15,547.398,558.638,542.648,556.728,45036.0,0
2017-11-16,554.658,588.608,554.658,587.758,60716.0,0
2017-11-17,564.648,577.648,546.418,558.898,123861.0,0
2017-11-20,545.448,554.248,528.648,547.798,88305.0,0
2017-11-21,537.648,557.448,530.668,545.898,96016.0,0
2017-11-22,545.648,556.648,518.648,519.168,128498.0,0
2017-11-23,510.648,514.648,498.868,502.378,109599.0,0
2017-11-24,504.548,511.148,490.878,498.688,76541.0,0
2017-11-27,502.648,504.978,481.658,489.938,63548.0,0
2017-11-28,493.708,517.528,492.648,516.878,70291.0,0
2017-11-29,518.588,520.618,502.658,506.768,46763.0,0
2017-11-30,504.158,517.128,494.648,499.648,38019.0,0
2017-12-01,506.658,507.638,488.778,490.998,47192.0,0
2017-12-04,492.598,512.748,485.368,506.438,54267.0,0
2017-12-05,502.648,516.048,498.778,501.608,47465.0,0
2017-12-06,500.148,512.748,488.648,493.658,58174.0,0
2017-12-07,493.598,493.638,483.908,485.338,51032.0,0
2017-12-08,484.068,497.498,484.068,495.928,45503.0,0
2017-12-11,499.648,520.598,499.648,519.638,72849.0,0
2017-12-12,527.348,527.418,519.668,519.968,47889.0,0
2017-12-13,523.638,538.648,519.368,536.858,48502.0,0
2017-12-14,538.628,539.948,529.148,533.198,31967.0,0
2017-12-15,532.648,536.598,519.428,522.438,32255.0,0
2017-12-18,528.648,538.448,527.228,534.418,39162.0,0
2017-12-19,531.648,541.088,529.648,535.738,44072.0,0
2017-12-20,538.548,555.508,532.678,553.558,63601.0,0
2017-12-21,551.648,556.068,544.148,550.388,46680.0,0
2017-12-22,548.648,554.548,545.658,551.568,28317.0,0
2017-12-25,554.648,564.948,552.368,556.768,36214.0,0
2017-12-26,556.828,561.638,545.148,549.458,31867.0,0
2017-12-27,553.508,553.508,531.148,532.828,37722.0,0
2017-12-28,555.648,588.548,539.968,587.338,124141.0,0
2017-12-29,586.648,595.148,560.248,566.138,76038.0,0
2018-01-02,568.648,578.808,558.538,572.498,49612.0,0
2018-01-03,570.148,590.048,568.388,584.508,52019.0,0
2018-01-04,590.048,612.148,587.978,605.718,72205.0,0
2018-01-05,609.648,614.678,596.868,607.008,39989.0,0
2018-01-08,603.668,625.148,603.668,620.778,52204.0,0
2018-01-09,620.858,651.648,620.858,651.168,64591.0,0
2018-01-10,653.648,657.528,642.128,654.358,47714.0,0
2018-01-11,655.648,656.648,640.648,643.458,50656.0,0
2018-01-12,642.418,657.448,635.668,657.068,45988.0,0
2018-01-15,662.108,667.708,647.668,654.018,52473.0,0
2018-01-16,649.128,657.258,636.648,641.588,65428.0,0
2018-01-17,638.648,642.648,607.158,616.578,90709.0,0
2018-01-18,616.578,633.648,612.738,619.388,58978.0,0
2018-01-19,621.548,627.548,607.668,618.828,50925.0,0
2018-01-22,620.458,642.648,620.458,642.288,67126.0,0
2018-01-23,646.458,648.648,637.248,642.428,49549.0,0
2018-01-24,645.088,645.108,627.248,633.108,43298.0,0
2018-01-25,629.648,644.648,619.648,637.808,50040.0,0
2018-01-26,635.888,646.048,632.648,645.868,43978.0,0
2018-01-29,647.408,648.318,603.648,604.968,74535.0,0
2018-01-30,604.648,617.418,598.668,610.728,51911.0,0
2018-01-31,607.648,640.358,607.648,633.188,60402.0,0
2018-02-01,635.648,635.948,621.568,626.378,50582.0,0
2018-02-02,620.868,621.878,593.648,609.048,75420.0,0
2018-02-05,595.868,598.608,574.248,586.878,98995.0,0
2018-02-06,571.648,591.248,571.648,577.508,88168.0,0
2018-02-07,588.648,592.528,550.658,552.078,88289.0,0
2018-02-08,550.848,586.648,550.848,569.638,83409.0,0
